longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,Localidad
-74.063644,4.624335,5.0,3.0,68.0,4.0,2.0,1.0,0.0,7.0,4400000.0,SANTA FE
-74.0353333,4.7182358,4.0,3.0,105.0,23.0,3.0,2.0,631200.0,0.0,3500000.0,USAQUEN
-74.0679795,4.6435841,4.0,1.0,17.0,4.0,1.0,0.0,0.0,0.0,1300000.0,TEUSAQUILLO
-74.0487326,4.6562001,6.0,3.0,104.85,0.0,2.0,2.0,0.0,1.0,6340000.0,CHAPINERO
-74.043204657578,4.6714912905325,6.0,3.0,120.0,4.0,2.0,2.0,1471500.0,3.0,15528500.0,CHAPINERO
-74.050395619049,4.662145339957,6.0,3.0,180.0,23.0,3.0,3.0,1749600.0,6.0,9000000.0,CHAPINERO
-74.0514472,4.7139846,5.0,2.0,65.0,31.0,2.0,1.0,432000.0,1.0,2068000.0,USAQUEN
-74.04572725296,4.6714724554658,6.0,3.0,167.0,23.0,3.0,3.0,2200000.0,3.0,8600000.0,CHAPINERO
-74.0569272,4.6442082,4.0,2.0,63.0,4.0,2.0,1.0,400000.0,4.0,3200000.0,CHAPINERO
-74.0691423,4.7411288,4.0,1.0,38.0,4.0,2.0,0.0,0.0,7.0,1600000.0,SUBA
-74.1036938,4.6445999,3.0,2.0,77.0,4.0,3.0,1.0,0.0,0.0,3450000.0,TEUSAQUILLO
-74.0545146,4.6961165,6.0,2.0,73.0,23.0,2.0,2.0,900000.0,0.0,3000000.0,USAQUEN
-74.0614524,4.6956531,5.0,2.0,65.0,23.0,2.0,1.0,480000.0,0.0,3000000.0,SUBA
-74.1107594,4.6425512,4.0,2.0,78.0,4.0,3.0,1.0,0.0,10.0,3500000.0,PUENTE ARANDA
-74.1029244,4.701265,3.0,2.0,75.0,23.0,3.0,1.0,0.0,0.0,2000000.0,ENGATIVA
-74.0608558,4.6925585,5.0,2.0,83.0,4.0,2.0,1.0,0.0,2.0,4000000.0,SUBA
-74.0544283,4.691554,6.0,3.0,100.0,23.0,2.0,1.0,984000.0,4.0,4500000.0,USAQUEN
-74.1608737,4.6128447,3.0,2.0,58.0,31.0,3.0,0.0,0.0,0.0,1050000.0,KENNEDY
-74.0585841,4.6401754,5.0,1.0,24.0,12.0,1.0,1.0,0.0,7.0,2900000.0,CHAPINERO
-74.0754569,4.719623,6.0,3.0,133.0,23.0,3.0,2.0,0.0,2.0,4000000.0,SUBA
-74.0452212,4.6782734,6.0,1.0,70.0,12.0,1.0,2.0,703882.0,2.0,4700000.0,CHAPINERO
-74.0448749,4.6785083,6.0,4.0,138.0,31.0,4.0,1.0,1200000.0,1.0,5000000.0,CHAPINERO
-74.0549296,4.6432541,5.0,3.0,176.0,12.0,3.0,2.0,0.0,5.0,9200000.0,CHAPINERO
-74.0526622,4.6804408,6.0,2.0,93.0,23.0,2.0,1.0,0.0,5.0,4800000.0,CHAPINERO
-74.0523607,4.6986574,3.0,1.0,50.0,4.0,1.0,1.0,312000.0,0.0,2188000.0,USAQUEN
-74.049510040344,4.7226900117112,5.0,2.0,87.0,31.0,2.0,1.0,100000.0,0.0,2600000.0,USAQUEN
-74.1723217,4.6167933,3.0,1.0,68.0,31.0,3.0,0.0,0.0,1.0,1100000.0,KENNEDY
-74.0428076,4.6978843,5.0,1.0,50.0,12.0,1.0,1.0,550000.0,4.0,1750000.0,USAQUEN
-74.044789152856,4.7194956994468,5.0,3.0,110.0,23.0,3.0,2.0,0.0,4.0,3350000.0,USAQUEN
-74.0428643,4.6930751,4.0,2.0,65.0,4.0,2.0,2.0,0.0,3.0,4200000.0,USAQUEN
-74.0891419,4.7386757,3.0,1.0,50.0,23.0,2.0,1.0,0.0,3.0,1430000.0,SUBA
-74.0371218,4.6870176,6.0,5.0,161.0,23.0,3.0,2.0,0.0,0.0,10033000.0,USAQUEN
-74.04223002216,4.6782999973178,6.0,5.0,160.0,12.0,4.0,3.0,2200000.0,5.0,6500000.0,CHAPINERO
-74.0602248,4.6771531,4.0,1.0,33.0,4.0,1.0,1.0,200000.0,8.0,2300000.0,BARRIOS UNIDOS
-74.0427671,4.6723938,6.0,3.0,120.0,4.0,2.0,2.0,0.0,3.0,16500000.0,CHAPINERO
-74.030728,4.707561,5.0,3.0,89.0,23.0,2.0,2.0,840000.0,0.0,2960000.0,USAQUEN
-74.0524685,4.6802024,6.0,1.0,45.0,0.0,1.0,1.0,400000.0,2.0,3400000.0,CHAPINERO
-74.049271293115,4.673754581226,6.0,5.0,300.0,23.0,4.0,2.0,0.0,4.0,13000000.0,CHAPINERO
-74.027843994101,4.71114800531,6.0,4.0,213.0,31.0,3.0,2.0,1500000.0,1.0,7500000.0,USAQUEN
-74.0450884957,4.7172323414458,5.0,2.0,74.0,12.0,2.0,1.0,0.0,2.0,3500000.0,USAQUEN
-74.0528663,4.6704048,5.0,1.0,58.0,23.0,1.0,1.0,700000.0,0.0,3000000.0,CHAPINERO
-74.03437146394,4.6977831,5.0,2.0,87.0,12.0,2.0,1.0,0.0,3.0,5500000.0,USAQUEN
-74.0811344,4.6463733,5.0,5.0,166.0,23.0,4.0,2.0,0.0,2.0,4000000.0,TEUSAQUILLO
-74.0437707,4.6981149,6.0,2.0,60.0,4.0,1.0,1.0,0.0,3.0,3000000.0,USAQUEN
-74.0688882,4.6366844,4.0,1.0,49.0,31.0,1.0,1.0,232000.0,4.0,1468000.0,TEUSAQUILLO
-74.0541193,4.6562982,6.0,5.0,240.0,31.0,3.0,3.0,0.0,7.0,11000000.0,CHAPINERO
-74.0313729,4.7133834,5.0,2.0,110.0,12.0,3.0,2.0,670000.0,6.0,3500000.0,USAQUEN
-74.0560724,4.6733272,6.0,5.0,178.0,4.0,3.0,2.0,1200000.0,4.0,20000000.0,CHAPINERO
-74.038925170898,4.6937567202381,5.0,3.0,135.0,23.0,3.0,4.0,1000000.0,4.0,4600000.0,USAQUEN
-74.0787931,4.651186,4.0,3.0,110.0,31.0,3.0,1.0,0.0,4.0,3000000.0,TEUSAQUILLO
-74.0512474,4.7010069,6.0,2.0,80.0,12.0,2.0,1.0,0.0,4.0,4700000.0,USAQUEN
-74.1169158,4.648634,4.0,1.0,40.0,4.0,2.0,0.0,0.0,20.0,1600000.0,FONTIBON
-74.075725,4.6790235,4.0,2.0,96.0,12.0,3.0,0.0,0.0,0.0,3000000.0,BARRIOS UNIDOS
-74.064753,4.724271,5.0,2.0,115.0,23.0,3.0,2.0,690000.0,1.0,3800000.0,SUBA
-74.0491065,4.6922848,6.0,2.0,110.0,4.0,3.0,2.0,0.0,3.0,7700000.0,USAQUEN
-74.0519149,4.6736573,6.0,2.0,73.0,12.0,2.0,2.0,0.0,7.0,5800000.0,CHAPINERO
-74.1340135,4.6608354,3.0,1.0,39.0,0.0,2.0,0.0,234000.0,0.0,1490000.0,FONTIBON
-74.0460373,4.7774399,4.0,2.0,65.0,0.0,2.0,1.0,0.0,15.0,2700000.0,SUBA
-74.0422824,4.7599615,4.0,2.0,1.0,4.0,2.0,1.0,361000.0,1.0,1939000.0,USAQUEN
-74.0406767,4.729514,4.0,3.0,70.0,23.0,3.0,1.0,0.0,1.0,2300000.0,USAQUEN
-74.0941155,4.6039555,3.0,2.0,64.0,4.0,3.0,0.0,0.0,0.0,1750000.0,LOS MARTIRES
-74.0601236,4.6410084,6.0,2.0,116.0,23.0,2.0,2.0,1242400.0,0.0,5257600.0,CHAPINERO
-74.0628307,4.7364424,5.0,3.0,205.0,12.0,3.0,2.0,0.0,12.0,7581000.0,SUBA
-74.1030556,4.6419444,4.0,2.0,76.0,23.0,3.0,1.0,0.0,0.0,3300000.0,TEUSAQUILLO
-74.073578902191,4.7315012037917,5.0,3.0,114.0,23.0,3.0,2.0,0.0,4.0,4000000.0,SUBA
-74.085337706512,4.6440542965706,4.0,2.0,75.0,23.0,3.0,1.0,427100.0,4.0,2672900.0,TEUSAQUILLO
-74.1177221,4.6478525,4.0,1.0,44.0,0.0,2.0,0.0,0.0,15.0,1900000.0,FONTIBON
-74.043468,4.695351,6.0,3.0,75.0,23.0,3.0,1.0,0.0,3.0,3066112.0,USAQUEN
-74.1274598,4.6585244,4.0,3.0,102.0,4.0,3.0,0.0,0.0,9.0,4900000.0,FONTIBON
-74.0229726,4.7243591,6.0,0.0,80.0,23.0,2.0,0.0,522000.0,0.0,4760000.0,USAQUEN
-74.0438282,4.6706042,6.0,1.0,52.0,31.0,1.0,1.0,450000.0,0.0,2650000.0,CHAPINERO
-74.057958508174,4.6436787633203,5.0,2.0,100.0,12.0,2.0,2.0,0.0,5.0,5460000.0,CHAPINERO
-74.042112613942,4.6754515001442,6.0,3.0,110.0,23.0,2.0,2.0,900000.0,3.0,6100000.0,CHAPINERO
-74.1452377,4.6182452,3.0,1.0,38.51,0.0,2.0,0.0,0.0,10.0,1200000.0,KENNEDY
-74.0457215,4.6715543,6.0,5.0,167.0,23.0,3.0,2.0,0.0,3.0,11900000.0,CHAPINERO
